year,state_id,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,standard_deduction_single,standard_deduction_couple,personal_exemption_single,personal_exemption_couple,personal_exemption_dependent
2023,1,0.02,0,0.02,0,3000,8500,1500,3000,1000
2023,1,0.04,500,0.04,1000,NULL,NULL,NULL,NULL,NULL
2023,1,0.05,3000,0.05,6000,NULL,NULL,NULL,NULL,NULL
2023,2,0,NULL,0,NULL,0,0,0,0,0
2023,3,0.025,0,0.025,0,13850,27700,0,0,100
2023,4,0.02,0,0.02,0,2270,4540,29,58,29
2023,4,0.04,4300,0.04,4300,NULL,NULL,NULL,NULL,NULL
2023,4,0.049,8500,0.049,8500,NULL,NULL,NULL,NULL,NULL
2023,5,0.01,0,0.01,0,5202,10404,140,280,433
2023,5,0.02,10099,0.02,20198,NULL,NULL,NULL,NULL,NULL
2023,5,0.04,23942,0.04,47884,NULL,NULL,NULL,NULL,NULL
2023,5,0.06,37788,0.06,75576,NULL,NULL,NULL,NULL,NULL
2023,5,0.08,52455,0.08,104910,NULL,NULL,NULL,NULL,NULL
2023,5,0.093,66295,0.093,132590,NULL,NULL,NULL,NULL,NULL
2023,5,0.103,338639,0.103,677278,NULL,NULL,NULL,NULL,NULL
2023,5,0.113,406364,0.113,812728,NULL,NULL,NULL,NULL,NULL
2023,5,0.123,677275,0.123,1000000,NULL,NULL,NULL,NULL,NULL
2023,5,0.133,1000000,0.133,1354550,NULL,NULL,NULL,NULL,NULL
2023,6,0.044,0,0.044,0,13850,27700,0,0,0
2023,7,0.03,0,0.03,0,0,0,15000,24000,0
2023,7,0.05,10000,0.05,20000,NULL,NULL,NULL,NULL,NULL
2023,7,0.055,50000,0.055,100000,NULL,NULL,NULL,NULL,NULL
2023,7,0.06,100000,0.06,200000,NULL,NULL,NULL,NULL,NULL
2023,7,0.065,200000,0.065,400000,NULL,NULL,NULL,NULL,NULL
2023,7,0.069,250000,0.069,500000,NULL,NULL,NULL,NULL,NULL
2023,7,0.0699,500000,0.0699,1000000,NULL,NULL,NULL,NULL,NULL
2023,8,0.022,2000,0.022,2000,3250,6500,110,220,110
2023,8,0.039,5000,0.039,5000,NULL,NULL,NULL,NULL,NULL
2023,8,0.048,10000,0.048,10000,NULL,NULL,NULL,NULL,NULL
2023,8,0.052,20000,0.052,20000,NULL,NULL,NULL,NULL,NULL
2023,8,0.0555,25000,0.0555,25000,NULL,NULL,NULL,NULL,NULL
2023,8,0.066,60000,0.066,60000,NULL,NULL,NULL,NULL,NULL
2023,10,0,NULL,0,NULL,0,0,0,0,0
2023,11,0.01,0,0.01,0,5400,7100,2700,7400,3000
2023,11,0.02,750,0.02,1000,NULL,NULL,NULL,NULL,NULL
2023,11,0.03,2250,0.03,3000,NULL,NULL,NULL,NULL,NULL
2023,11,0.04,3750,0.04,5000,NULL,NULL,NULL,NULL,NULL
2023,11,0.05,5250,0.05,7000,NULL,NULL,NULL,NULL,NULL
2023,11,0.0575,7000,0.0575,10000,NULL,NULL,NULL,NULL,NULL
2023,12,0.014,0,0.014,0,2200,4400,1144,2288,1144
2023,12,0.032,2400,0.032,4800,NULL,NULL,NULL,NULL,NULL
2023,12,0.055,4800,0.055,9600,NULL,NULL,NULL,NULL,NULL
2023,12,0.064,9600,0.064,19200,NULL,NULL,NULL,NULL,NULL
2023,12,0.068,14400,0.068,28800,NULL,NULL,NULL,NULL,NULL
2023,12,0.072,19200,0.072,38400,NULL,NULL,NULL,NULL,NULL
2023,12,0.076,24000,0.076,48000,NULL,NULL,NULL,NULL,NULL
2023,12,0.079,36000,0.079,72000,NULL,NULL,NULL,NULL,NULL
2023,12,0.0825,48000,0.0825,96000,NULL,NULL,NULL,NULL,NULL
2023,12,0.09,150000,0.09,300000,NULL,NULL,NULL,NULL,NULL
2023,12,0.1,175000,0.1,350000,NULL,NULL,NULL,NULL,NULL
2023,12,0.11,200000,0.11,400000,NULL,NULL,NULL,NULL,NULL
2023,13,0.058,0,0.058,0,13850,27700,0,0,0
2023,14,0.0495,0,0.0495,0,0,0,2425,2850,2425
2023,15,0.0315,0,0.0315,0,0,0,1000,2000,1000
2023,16,0.044,0,0.044,0,0,0,40,80,40
2023,16,0.0482,6000,0.0482,12000,NULL,NULL,NULL,NULL,NULL
2023,16,0.057,30000,0.057,60000,NULL,NULL,NULL,NULL,NULL
2023,16,0.06,75000,0.06,150000,NULL,NULL,NULL,NULL,NULL
2023,17,0.031,0,0.031,0,3500,8000,2250,4500,2250
2023,17,0.0525,15000,0.0525,30000,NULL,NULL,NULL,NULL,NULL
2023,17,0.057,30000,0.057,60000,NULL,NULL,NULL,NULL,NULL
2023,18,0.045,0,0.045,0,2770,5540,0,0,0
2023,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023,19,0.0185,0,0.0185,0,0,0,4500,9000,1000
