year,state,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,standard_deduction_single,standard_deduction_couple,personal_exemption_single,personal_exemption_couple,personal_exemption_dependent
2023,1,0.02000,0,0.02000,0,3000,8500,1500,3000,1000
2023,1,0.04000,500,0.04000,1000,,,,,
2023,1,0.05000,3000,0.05000,6000,,,,,
2023,2,0.00000,,0.00000,,0,0,0,0,0
2023,3,0.02500,0,0.02500,0,13850,27700,0,0,100
2023,4,0.02000,0,0.02000,0,2270,4540,29,58,29
2023,4,0.04000,4300,0.04000,4300,,,,,
2023,4,0.04900,8500,0.04900,8500,,,,,
2023,5,0.01000,0,0.01000,0,5202,10404,140,280,433
2023,5,0.02000,10099,0.02000,20198,,,,,
2023,5,0.04000,23942,0.04000,47884,,,,,
2023,5,0.06000,37788,0.06000,75576,,,,,
2023,5,0.08000,52455,0.08000,104910,,,,,
2023,5,0.09300,66295,0.09300,132590,,,,,
2023,5,0.10300,338639,0.10300,677278,,,,,
2023,5,0.11300,406364,0.11300,812728,,,,,
2023,5,0.12300,677275,0.12300,1000000,,,,,
2023,5,0.13300,1000000,0.13300,1354550,,,,,
2023,6,0.04400,0,0.04400,0,13850,27700,0,0,0
2023,7,0.03000,0,0.03000,0,0,0,15000,24000,0
2023,7,0.05000,10000,0.05000,20000,,,,,
2023,7,0.05500,50000,0.05500,100000,,,,,
2023,7,0.06000,100000,0.06000,200000,,,,,
2023,7,0.06500,200000,0.06500,400000,,,,,
2023,7,0.06900,250000,0.06900,500000,,,,,
2023,7,0.06990,500000,0.06990,1000000,,,,,
2023,8,0.02200,2000,0.02200,2000,3250,6500,110,220,110
2023,8,0.03900,5000,0.03900,5000,,,,,
2023,8,0.04800,10000,0.04800,10000,,,,,
2023,8,0.05200,20000,0.05200,20000,,,,,
2023,8,0.05550,25000,0.05550,25000,,,,,
2023,8,0.06600,60000,0.06600,60000,,,,,
2023,10,0.00000,,0.00000,,0,0,0,0,0
2023,11,0.01000,0,0.01000,0,5400,7100,2700,7400,3000
2023,11,0.02000,750,0.02000,1000,,,,,
2023,11,0.03000,2250,0.03000,3000,,,,,
2023,11,0.04000,3750,0.04000,5000,,,,,
2023,11,0.05000,5250,0.05000,7000,,,,,
2023,11,0.05750,7000,0.05750,10000,,,,,
2023,12,0.01400,0,0.01400,0,2200,4400,1144,2288,1144
2023,12,0.03200,2400,0.03200,4800,,,,,
2023,12,0.05500,4800,0.05500,9600,,,,,
2023,12,0.06400,9600,0.06400,19200,,,,,
2023,12,0.06800,14400,0.06800,28800,,,,,
2023,12,0.07200,19200,0.07200,38400,,,,,
2023,12,0.07600,24000,0.07600,48000,,,,,
2023,12,0.07900,36000,0.07900,72000,,,,,
2023,12,0.08250,48000,0.08250,96000,,,,,
2023,12,0.09000,150000,0.09000,300000,,,,,
2023,12,0.10000,175000,0.10000,350000,,,,,
2023,12,0.11000,200000,0.11000,400000,,,,,
2023,13,0.05800,0,0.05800,0,13850,27700,0,0,0
2023,14,0.04950,0,0.04950,0,0,0,2425,2850,2425
2023,15,0.03150,0,0.03150,0,0,0,1000,2000,1000
2023,16,0.04400,0,0.04400,0,0,0,40,80,40
2023,16,0.04820,6000,0.04820,12000,,,,,
2023,16,0.05700,30000,0.05700,60000,,,,,
2023,16,0.06000,75000,0.06000,150000,,,,,
2023,17,0.03100,0,0.03100,0,3500,8000,2250,4500,2250
2023,17,0.05250,15000,0.05250,30000,,,,,
2023,17,0.05700,30000,0.05700,60000,,,,,
2023,18,0.04500,0,0.04500,0,2770,5540,0,0,0
2023,18,,,,,,,,,
2023,19,0.01850,0,0.01850,0,0,0,4500,9000,1000
2023,19,0.03500,12500,0.03500,25000,,,,,
2023,19,0.04245,50000,0.04245,100000,,,,,
2023,20,0.05800,0,0.05800,0,13850,27700,4700,9400,300
2023,20,0.06750,24500,0.06750,49050,,,,,
2023,20,0.07150,58050,0.07150,116100,,,,,
2023,33,0.02000,0,0.02000,0,2400,4850,3200,6400,3200
2023,33,0.03000,1000,0.03000,1000,,,,,
2023,33,0.04000,2000,0.04000,2000,,,,,
2023,33,0.04750,3000,0.04750,3000,,,,,
2023,33,0.05000,100000,0.05000,150000,,,,,
2023,33,0.05250,125000,0.05250,175000,,,,,
2023,33,0.05500,150000,0.05500,225000,,,,,
2023,33,0.05750,250000,0.05750,300000,,,,,
2023,34,0.05000,0,0.05000,0,0,0,4400,8800,1000
2023,34,0.09000,1000000,0.09000,1000000,,,,,
2023,35,0.04250,0,0.04250,0,0,0,5000,10000,5000
2023,36,0.05350,0,0.05350,0,13825,27650,0,0,4800
2023,36,0.06800,30070,0.06800,43950,,,,,
2023,36,0.07850,98760,0.07850,174610,,,,,
2023,36,0.09850,183340,0.09850,304970,,,,,
2023,37,0.05000,10000,0.05000,10000,2300,4600,6000,12000,1500
2023,38,0.02000,1121,0.02000,1121,13850,27700,0,0,0
2023,38,0.02500,2242,0.02500,2242,,,,,
2023,38,0.03000,3363,0.03000,3363,,,,,
2023,38,0.03500,4484,0.03500,4484,,,,,
2023,38,0.04000,5605,0.04000,5605,,,,,
2023,38,0.04500,6726,0.04500,6726,,,,,
2023,38,0.04950,7847,0.04950,7847,,,,,
2023,21,0.01000,0,0.01000,0,5540,11080,2960,5920,2960
2023,21,0.02000,3600,0.02000,3600,,,,,
2023,21,0.03000,6300,0.03000,6300,,,,,
2023,21,0.04000,9700,0.04000,9700,,,,,
2023,21,0.05000,13000,0.05000,13000,,,,,
2023,21,0.06000,16800,0.06000,16800,,,,,
2023,21,0.06750,21600,0.06750,21600,,,,,
2023,22,0.02460,0,0.02460,0,7900,15800,157,314,157
2023,22,0.03510,3700,0.03510,7390,,,,,
2023,22,0.05010,22170,0.05010,44350,,,,,
2023,22,0.06640,35730,0.06640,71460,,,,,
2023,23,0.00000,,0.00000,,0,0,0,0,0
2023,24,0.00000,,0.00000,,0,0,2400,4800,0
2023,25,0.01400,0,0.01400,0,0,0,1000,2000,1500
2023,25,0.01750,20000,0.01750,20000,,,,,
2023,25,0.03500,35000,0.02450,50000,,,,,
2023,25,0.05525,40000,0.03500,70000,,,,,
2023,25,0.06370,75000,0.05525,80000,,,,,
2023,25,0.08970,500000,0.06370,150000,,,,,
2023,25,0.10750,1000000,0.08970,500000,,,,,
2023,25,,,0.10750,1000000,,,,,
2023,26,0.01700,0,0.01700,0,13850,27700,0,0,4000
2023,26,0.03200,5500,0.03200,8000,,,,,
2023,26,0.04700,11000,0.04700,16000,,,,,
2023,26,0.04900,16000,0.04900,24000,,,,,
2023,26,0.05900,210000,0.05900,315000,,,,,
2023,27,0.04000,0,0.04000,0,8000,16050,0,0,1000
2023,27,0.04500,8500,0.04500,17150,,,,,
2023,27,0.05250,11700,0.05250,23600,,,,,
2023,27,0.05500,13900,0.05500,27900,,,,,
2023,27,0.06000,80650,0.06000,161550,,,,,
2023,27,0.06850,215400,0.06850,323200,,,,,
2023,27,0.09650,1077550,0.09650,2155350,,,,,
2023,27,0.10300,5000000,0.10300,5000000,,,,,
2023,27,0.10900,25000000,0.10900,25000000,,,,,
